delivery_date,wings,tenders,fries_reg,fries_large,veggies,dips,drinks,flavours,year,month,day_of_week,is_monday,is_saturday,week_of_year,season,total_inventory,wings_ratio,protein_ratio,sides_ratio,beverages_ratio,wings_lag1,wings_lag2,tenders_lag1,tenders_lag2,total_inventory_lag1,total_inventory_lag2,total_inventory_rolling_mean,wings_rolling_std,reconstruction_error,is_anomaly
2021-04-04,5785,813,171,182,156,720,253,864,2021,4,6,0,0,13,spring,8944,0.6468023255813954,0.7377012522361359,0.056909660107334524,0.0282871198568873,6022.0,5351.0,804.0,669.0,9004.0,8308.0,7984.5,594.769633275495,0.002936648092506116,False
2021-04-05,4645,793,151,170,127,425,246,775,2021,4,0,1,0,14,spring,7332,0.6335242771412984,0.7416803055100928,0.06110201854882706,0.03355155482815057,5785.0,6022.0,813.0,804.0,8944.0,9004.0,8469.75,468.05341575508265,0.004994768174849951,False
2021-04-06,5437,694,139,161,145,504,223,741,2021,4,1,0,0,14,spring,8044,0.6759075087021382,0.7621829935355544,0.055320735952262556,0.027722526106414718,4645.0,5785.0,793.0,813.0,7332.0,8944.0,8397.0,604.7679306973877,0.004258816692944733,False
2021-04-07,4552,768,151,174,144,427,220,767,2021,4,2,0,0,14,spring,7203,0.6319589060113842,0.738581146744412,0.06511175898931001,0.03054282937664862,5437.0,4645.0,694.0,793.0,8044.0,7332.0,8331.0,601.5598473967492,0.007317487353533583,False
2021-04-08,4617,678,131,127,139,360,292,791,2021,4,3,0,0,14,spring,7135,0.6470918009810792,0.7421163279607569,0.055641205325858444,0.040925017519271197,4552.0,5437.0,768.0,694.0,7203.0,8044.0,7880.75,602.7804326618443,0.0062709038772154144,False
2021-04-09,5754,765,150,169,146,720,223,830,2021,4,4,0,0,14,spring,8757,0.657074340527578,0.7444330250085646,0.05310037684138404,0.0254653420121046,4617.0,4552.0,678.0,768.0,7135.0,7203.0,7428.5,417.9859447397726,0.0014021280465073228,False
2021-04-10,5929,775,128,170,175,720,294,875,2021,4,5,0,1,14,spring,9066,0.6539819104345908,0.7394661372159718,0.052172953893668654,0.03242885506287227,5754.0,4617.0,765.0,678.0,8757.0,7135.0,7784.75,598.4641454033261,0.00305010193043372,False
2021-04-11,5454,672,154,179,179,720,248,830,2021,4,6,0,0,14,spring,8436,0.6465149359886202,0.7261735419630156,0.06069227121858701,0.02939781887150308,5929.0,5754.0,775.0,765.0,9066.0,8757.0,8040.25,729.7200376400071,0.003201976397577938,False
2021-04-12,4888,665,128,140,144,416,195,771,2021,4,0,1,0,15,spring,7347,0.6653055668980536,0.7558187015108208,0.05607731046685722,0.026541445487954268,5454.0,5929.0,672.0,775.0,8436.0,9066.0,8348.5,581.7310375078849,0.0026029386576408163,False
2021-04-13,4859,667,133,129,133,524,174,686,2021,4,1,0,0,15,spring,7305,0.665160848733744,0.7564681724845996,0.054072553045859,0.02381930184804928,4888.0,5454.0,665.0,672.0,7347.0,8436.0,8401.5,456.4576468122027,0.004132188193172046,False
2021-04-14,4348,652,130,148,157,320,236,815,2021,4,2,0,0,15,spring,6806,0.6388480752277402,0.7346459006758742,0.06391419335880105,0.034675286511901264,4859.0,4888.0,667.0,665.0,7305.0,7347.0,8038.5,510.6717797829316,0.004932729044152294,False
2021-04-15,4605,623,121,134,135,447,293,748,2021,4,3,0,0,15,spring,7106,0.6480439065578385,0.7357162960878131,0.054883197298057976,0.041232761047002534,4348.0,4859.0,652.0,667.0,6806.0,7305.0,7473.5,451.9567641563372,0.007830862534088559,False
